country,name,address,sector,lat,lng
China,"Dalian Sportech Apparel Co., Ltd.","No. 153 West of Liaohe Road, Economic & Technical Development Zone, Dalian City, Liaoning Province 116600",Apparel,39.0586,121.78381
China,"Dongguan Luyang Shoes Co., Ltd.","Development Zone of Chi-Ling, Hou Jie Town, DongGuan City, Guangdong Province 523940",Apparel,22.936585,113.67114
China,Freetrend Industrial Ltd.,"Ao Pei Village, Pao-An Hsiang, Heng Kang Town, Lung- Kang Zone, Shenzhen, Guangdong 518115",Apparel,22.6421399,114.19859
China,Regina Miracle Intimate Apparel (Shenzhen) Ltd.,"No. 5 Cengyao Industrial Estate, Yulu, Gongming, Bao'An, Shenzhen, Guangdong 518106",Apparel,22.8076699,113.88845
China,"Zhejiang Walt Knitting Co., Ltd.","No. 18, Shi Jing Road, Haining, Zhejiang",Apparel,30.5391418,120.7275322
China,"Zhongshan Unichina Garment Co., Ltd.","Shunjing Industrial park, Fuzhong Road, Banfu town, Zhongshan city, Guangdong 528459 China",Apparel,22.39962,113.32968
El Salvador,Industrias Merlet S. A. de C.V.,"Calle Circunvalación, Pol. A, Nº 3, Urb. Industrial La Laguna, Antiguo Cuscatlán, La Libertad",Apparel,13.6760106,-89.2551933
Israel,Hitex,"Industrial Center Teradyon, P.O.B. 1365, Misgav 20179",Apparel,32.864535,35.278568
Jordan,Al Hanan,"Alhoson Street Bebrs Building, P.O.Box. 888 Irbid 21110",Apparel,32.5568095,35.846887
Jordan,Al Masera,"El Hasan industry Estate, Irbid",Apparel,32.4998607,36.0216515
Philippines,Globalwear Manufacturing Inc. (GMM),"PPC 19 Bldg., Crescent Road, Lot 8, Block 4, Lapu-Lapu City, Cebu 6015",Apparel,10.3168343,123.9649926
Philippines,Metro Wear Inc.,"Block C6, Corner 2nd Avenue, 5th St, Mactan Economic Zone 1, Lapu-Lapu City, Cebu 6015",Apparel,10.3168343,123.9649926
Mexico,Robinson Manufacturing Co. de Mexico S.A. de C.V.,"Calle Industrial Alimenticia 2311, Linares 67735",Apparel,24.8849883,-99.567261
Sri Lanka,Kusang Lanka Ltd.,"Aniyakanda Estate, Nagoda, Kandana",Apparel,7.0414118,79.9039186
Taiwan,"Chuan Cheng Hat Co., Ltd., Ta-Ya Factory","No. 56, Chung San Road,Ta-Ya Hsiang, Taichung Hsien 42841",Apparel,24.3349817,120.6267744
Turkey,Pim Tekstil San.Ve. Tic. Sti.,"Yarimburgaz Mh. Atatürk Cd. No.31, 34306 Cekmece, Istanbul 34290",Apparel,41.0591,28.75355
USA,Catawba Sox LLC.,"1500 13th ST SW Hickory, NC 28601",Apparel,35.710451,-81.360025
Vietnam,"Long Rich (VN) Co., Ltd.","Lot No. 1-4, 10-13, 26-37, Road 3 Industrial Zone in Linh Trung Export Processing II, Binh Chieu Commune, Thu Duc District, Ho Chi Minh City",Apparel,10.8892194,106.7208802
Vietnam,"Star Fashion Co., Ltd.","Lot 3, Phu Nghia Industrial Zone, Phu Nghia Commune, Chuong My District, Hanoi",Apparel,20.9303568,105.656734
